VehicleCount,Density,Stopped,WrongParked,EstSpeed,Lanes,RoadWidth,HasMedian,IsDivided,CarRatio,BikeRatio,BusRatio,TruckRatio,VehicleMix,Pedestrians,NMVCount,Signals,PeakHour,TimeOfDayCode,WeatherImpact,WeatherCode,CityTypeCode,RoadTypeCode,RoadTypeName,LaneDisciplineCode,PolicySens_OneWay,PolicySens_NoParking,PolicySens_PeakRestr,CongestionScore
22.7,2.74,0.1,0.2,36.4,8,28.0,1.0,1.0,0.768,0.025,0.099,0.108,0.232,1.2,0.5,1,1.0,2,0.5,1,3,0,highway,0.437,0.073,0.082,0.543,49.44
14.9,3.12,0.3,0.1,80.8,5,17.5,1.0,1.0,0.651,0.013,0.08,0.257,0.349,0.8,0.2,0,0.2,1,0.5,1,2,0,highway,0.405,0.107,0.167,0.551,24.8
30.0,3.84,1.4,0.3,58.6,8,28.0,1.0,1.0,0.755,0.004,0.124,0.117,0.245,0.4,0.1,1,1.0,3,0.0,0,2,0,highway,0.514,0.001,0.177,0.589,39.53
92.1,22.55,2.2,0.4,48.9,4,14.0,1.0,1.0,0.674,0.016,0.136,0.174,0.326,1.2,1.4,1,1.0,2,0.0,0,0,0,highway,0.608,0.074,0.161,0.504,98.73
7.8,1.91,0.1,0.1,83.5,4,14.0,1.0,1.0,0.723,0.018,0.063,0.196,0.277,0.9,0.1,0,0.0,0,0.0,0,0,0,highway,0.527,0.073,0.204,0.555,11.37
12.5,2.53,0.1,0.1,61.2,5,17.5,1.0,1.0,0.69,0.03,0.152,0.129,0.31,0.7,0.4,1,0.2,1,1.0,2,4,0,highway,0.337,0.162,0.137,0.473,38.78
5.5,0.91,0.0,0.0,107.0,6,21.0,1.0,1.0,0.607,0.031,0.116,0.246,0.393,0.8,0.2,1,0.0,0,0.0,0,2,0,highway,0.506,0.11,0.261,0.477,11.25
3.4,0.44,0.0,0.0,84.0,8,28.0,1.0,1.0,0.714,0.027,0.117,0.142,0.286,0.9,0.1,0,0.0,0,0.0,0,2,0,highway,0.402,0.089,0.273,0.632,8.31
60.3,9.85,1.1,0.2,60.7,6,21.0,1.0,1.0,0.755,0.003,0.08,0.162,0.245,0.4,0.2,0,1.0,2,0.0,0,4,0,highway,0.391,0.077,0.179,0.586,54.97
24.9,3.7,0.2,0.1,89.7,7,24.5,1.0,1.0,0.604,0.04,0.081,0.275,0.396,0.4,1.0,1,0.2,1,0.0,0,2,0,highway,0.468,0.126,0.151,0.606,25.17
27.7,7.12,0.2,0.1,111.8,4,14.0,1.0,1.0,0.652,0.009,0.058,0.281,0.348,0.9,0.3,1,0.2,1,0.0,0,0,0,highway,0.545,0.033,0.172,0.511,30.41
52.9,6.25,1.2,0.3,70.7,8,28.0,1.0,1.0,0.771,0.008,0.099,0.122,0.229,0.7,0.4,1,1.0,2,0.0,0,1,0,highway,0.507,0.061,0.2,0.609,46.55
61.1,14.98,1.5,0.1,35.5,4,14.0,1.0,1.0,0.706,0.037,0.126,0.131,0.294,0.0,2.2,1,1.0,2,0.5,1,1,0,highway,0.404,0.036,0.135,0.555,100.0
11.9,2.35,0.2,0.0,76.3,5,17.5,1.0,1.0,0.673,0.0,0.086,0.241,0.327,0.4,0.0,0,0.2,1,0.5,1,3,0,highway,0.578,0.217,0.208,0.535,18.72
40.8,8.22,0.6,0.3,62.3,5,17.5,1.0,1.0,0.607,0.019,0.124,0.25,0.393,0.4,0.8,0,0.2,1,0.5,1,4,0,highway,0.514,0.068,0.205,0.515,54.8
49.9,6.3,2.4,0.5,32.1,8,28.0,1.0,1.0,0.634,0.035,0.077,0.254,0.366,0.8,1.8,1,1.0,2,1.0,2,1,0,highway,0.516,0.053,0.151,0.658,100.0
25.9,4.58,0.0,0.2,67.9,6,21.0,1.0,1.0,0.752,0.037,0.059,0.152,0.248,0.8,1.0,1,0.2,1,0.0,0,4,0,highway,0.408,0.15,0.283,0.559,30.04
38.1,4.57,0.3,0.1,78.8,8,28.0,1.0,1.0,0.733,0.047,0.063,0.157,0.267,1.4,1.7,0,0.2,1,0.0,0,4,0,highway,0.509,0.106,0.242,0.553,28.52
7.5,1.12,0.1,0.1,78.4,7,24.5,1.0,1.0,0.672,0.039,0.099,0.189,0.328,0.6,0.3,0,0.0,0,0.5,1,1,0,highway,0.314,0.15,0.182,0.636,16.29
11.0,2.29,0.0,0.1,68.4,5,17.5,1.0,1.0,0.657,0.02,0.051,0.272,0.343,0.3,0.2,1,0.0,0,0.5,1,0,0,highway,0.62,0.115,0.222,0.615,26.09
17.0,2.12,0.3,0.0,116.3,8,28.0,1.0,1.0,0.638,0.031,0.128,0.203,0.362,1.1,0.5,1,0.2,1,0.0,0,3,0,highway,0.567,0.125,0.222,0.546,18.36
23.7,3.14,0.6,0.1,48.5,7,24.5,1.0,1.0,0.653,0.03,0.079,0.238,0.347,0.9,0.7,1,0.2,1,1.0,2,3,0,highway,0.493,0.091,0.244,0.504,52.9
8.0,1.14,0.1,0.0,107.7,7,24.5,1.0,1.0,0.628,0.038,0.054,0.28,0.372,0.3,0.3,1,0.0,0,0.0,0,3,0,highway,0.576,0.066,0.149,0.581,12.02
37.2,4.82,0.2,0.2,89.7,8,28.0,1.0,1.0,0.652,0.027,0.109,0.213,0.348,0.5,1.0,0,0.2,1,0.0,0,1,0,highway,0.297,0.172,0.14,0.536,32.1
19.8,5.01,0.7,0.1,62.1,4,14.0,1.0,1.0,0.671,0.036,0.085,0.209,0.329,1.0,0.7,1,1.0,2,0.0,0,2,0,highway,0.395,0.095,0.233,0.58,34.22
